,episode,locations
155,GAG197,"[('Finnland', 25.9209164, 63.2467777)]"
156,GAG196,"[('Nord-', 3.0883523694464854, 50.52896715), ('Südamerika', -61.0006565, -21.0002179), ('Karibisches Meer', -75.0000001, 15.0000001), ('Pazifik', 8.1353594, 53.5979139)]"
157,GAG195,"[('Wien', 16.3725042, 48.2083537), ('Johannesburg', 28.049722, -26.205), ('Hamburg', 10.000654, 53.550341), ('KZ Sachsenhausen', 13.2429962, 52.775687), ('Panama', -81.1308434, 8.559559)]"
158,GAG194,"[('Nordamerikas', 12.4113744, 51.3028882), ('Mississippi.', -89.7348497, 32.9715285), ('Frankreich', 1.8883335, 46.603354), ('Louisiana', -92.007126, 30.8703881), ('Frankreich', 1.8883335, 46.603354), ('Natchez', -91.403171, 31.5604076)]"
159,GAG193,"[('Vorarlberg', 9.9166667, 47.25), ('Vorarlberger', 9.7451629, 47.4936833), ('Schweiz', 8.2319736, 46.7985624), ('Vorarlberg', 9.9166667, 47.25), ('Übrig', 8.5589933, 47.9944021)]"
160,GAG191,"[('Großbritannien', -1.9180234948012402, 54.31536155), ('England', -1.2649062, 52.5310214), ('Norweger', 7.8252956, 52.7528584), ('Englands', -1.8595357657235332, 51.7039725), ('England', -1.2649062, 52.5310214)]"
161,GAG190,"[('Iran', 54.5643516, 32.6475314), ('Syrien', 39.0494106, 34.6401861)]"
162,GAG189,"[('Karthago', 10.3309924, 36.8548083), ('Rom', 12.4829321, 41.8933203), ('Römern', 8.68308814142365, 50.1106694), ('Römer', 8.6816587, 50.1104684)]"
163,GAG188,"[('USA', -100.445882, 39.7837304)]"
164,GAG186,"[('Rochdale', -2.1557561, 53.6153659), ('Deutschland', 10.4478313, 51.1638175)]"
165,GAG185,"[('USA', -100.445882, 39.7837304), ('USA', -100.445882, 39.7837304), ('New York City', -74.0060152, 40.7127281), ('Lower', 32.6060423, 0.3132141), ('Chinatown', -73.9962504, 40.7164913), ('Little Italy', -73.9982152, 40.7192728)]"
166,GAG184,"[('Leonberg', 9.0150026, 48.8012983), ('Herzogtum Württemberg', 9.1725179, 48.7554548), ('Württemberg', 9.0994058, 48.3366504)]"
167,GAG183,"[('Agrippina', 49.1233281, 55.7898555), ('Agrippina', 49.1233281, 55.7898555)]"
168,GAG182,"[('den USA', -104.68536732610298, 39.8606676), ('Staaten', 142.90409694877354, -16.587403549999998), ('Deutschland', 10.4478313, 51.1638175), ('Deutschland', 10.4478313, 51.1638175)]"
169,GAG180,"[('Sueskanal', 32.3331003, 30.6052767), ('Kanal', 13.6339298, 46.0858687), ('Sueskanal', 32.3331003, 30.6052767)]"
170,GAG179,"[('Deutschland', 10.4478313, 51.1638175), ('Frankfurt', 8.6820917, 50.1106444)]"
171,GAG178,"[('Rom', 12.4829321, 41.8933203)]"
172,GAG177,"[('Chinas', -76.044592, 2.6933228), ('Landes', -0.6433872354467377, 44.00996945)]"
173,GAG176,"[('Saint-Imer', 0.1742541, 49.2536563), ('Berner Jura', 7.184410305233462, 47.20288345), ('der Schweiz', 10.1776692, 50.4314453)]"
174,GAG175,"[('Europa', 10.0, 51.0), ('USA', -100.445882, 39.7837304)]"
175,GAG174,"[('USA', -100.445882, 39.7837304)]"
176,GAG173,"[('Frankreichs', 12.499366, 41.909354), ('Frankreich', 1.8883335, 46.603354)]"
177,GAG172,"[('Europa', 10.0, 51.0), ('Europas', 8.958095134724655, 51.14825865), ('England', -1.2649062, 52.5310214)]"
178,GAG170,"[('Kokos-Insel', -87.05976165965734, 5.52811005), ('Costa Rica', -84.0739102, 10.2735633), ('Pazifik', 8.1353594, 53.5979139)]"
179,GAG169,"[('China', 104.999927, 35.000074), ('China', 104.999927, 35.000074)]"
180,GAG168,"[('Laupheim', 9.8771587, 48.2305342), ('Deutschlands', 13.667225793245475, 54.559670350000005), ('USA', -100.445882, 39.7837304), ('Hollywood', -118.329523, 34.0980031), ('Hollywood.', -118.329523, 34.0980031)]"
181,GAG167,"[('Englands', -1.8595357657235332, 51.7039725)]"
182,GAG166,"[('Wien', 16.3725042, 48.2083537), ('1. Republik', 34.268369024507635, 62.2186531), ('Riga', 24.1051846, 56.9493977)]"
183,GAG165,"[('Geschehens', 10.5677982, 47.9952098), ('Italiens', 7.1003422, 47.0794135)]"
184,GAG162,"[('Berlin', 13.3888599, 52.5170365), ('Republik', 2.3637014, 48.8676215), ('Berliner Schloss.', 13.40073520814235, 52.517215199999995)]"
185,GAG161,"[('Geschehens', 10.5677982, 47.9952098), ('USA', -100.445882, 39.7837304), ('USA', -100.445882, 39.7837304)]"
186,GAG160,"[('Amrum', 8.328274983040426, 54.6601796)]"
187,GAG158,"[('Geschehens', 10.5677982, 47.9952098), ('Iran', 54.5643516, 32.6475314)]"
188,GAG157,"[('Europa', 10.0, 51.0), ('Chile', -71.3187697, -31.7613365), ('Atacama-Wüste', -69.4226479, -24.5563029), ('Atacama-Wüste', -69.4226479, -24.5563029)]"
189,GAG154,"[('Frankreich', 1.8883335, 46.603354), ('Marseille', 5.3699525, 43.2961743), ('Brüssel', 4.351697, 50.8465573), ('Frankreichs', 12.499366, 41.909354)]"
190,GAG153,"[('Wien', 16.3725042, 48.2083537)]"
191,GAG152,"[('Antarktis', 0.3149312, -79.4063075), ('Elephant Island', -55.215106604558514, -61.1679146), ('Südgeorgien', -36.49465186334665, -54.43393195), ('Shackleton', 117.8368271, -31.9316993)]"
192,GAG151,"[('Japans', 18.1069522, 59.3348211), ('Japans', 18.1069522, 59.3348211)]"
