episode,locations
GAG179,"[('Deutschland', 10.4478313, 51.1638175), ('Frankfurt', 8.6820917, 50.1106444)]"
GAG178,"[('Rom', 12.4829321, 41.8933203)]"
GAG177,"[('Chinas', -76.044592, 2.6933228), ('Landes', -0.6433872354467377, 44.00996945)]"
GAG176,"[('Saint-Imer', 0.1742541, 49.2536563), ('Berner Jura', 7.184410305233462, 47.20288345), ('der Schweiz', 10.1776692, 50.4314453)]"
GAG175,"[('Europa', 10.0, 51.0), ('USA', -100.445882, 39.7837304)]"
GAG174,"[('USA', -100.445882, 39.7837304)]"
GAG173,"[('Frankreichs', 12.499366, 41.909354), ('Frankreich', 1.8883335, 46.603354)]"
GAG172,"[('Europa', 10.0, 51.0), ('Europas', 8.958095134724655, 51.14825865), ('England', -1.2649062, 52.5310214)]"
GAG170,"[('Kokos-Insel', -87.05976165965734, 5.52811005), ('Costa Rica', -84.0739102, 10.2735633), ('Pazifik', 8.1353594, 53.5979139)]"
GAG169,"[('China', 104.999927, 35.000074), ('China', 104.999927, 35.000074)]"
GAG168,"[('Laupheim', 9.8771587, 48.2305342), ('Deutschlands', 13.667225793245475, 54.559670350000005), ('USA', -100.445882, 39.7837304), ('Hollywood', -118.329523, 34.0980031), ('Hollywood.', -118.329523, 34.0980031)]"
GAG167,"[('Englands', -1.8595357657235332, 51.7039725)]"
GAG166,"[('Wien', 16.3725042, 48.2083537), ('1. Republik', 34.268369024507635, 62.2186531), ('Riga', 24.1051846, 56.9493977)]"
GAG165,"[('Geschehens', 10.5677982, 47.9952098), ('Italiens', 7.1003422, 47.0794135)]"
GAG162,"[('Berlin', 13.3888599, 52.5170365), ('Republik', 2.3637014, 48.8676215), ('Berliner Schloss.', 13.40073520814235, 52.517215199999995)]"
GAG161,"[('Geschehens', 10.5677982, 47.9952098), ('USA', -100.445882, 39.7837304), ('USA', -100.445882, 39.7837304)]"
GAG160,"[('Amrum', 8.328274983040426, 54.6601796)]"
GAG158,"[('Geschehens', 10.5677982, 47.9952098), ('Iran', 54.5643516, 32.6475314)]"
GAG157,"[('Europa', 10.0, 51.0), ('Chile', -71.3187697, -31.7613365), ('Atacama-Wüste', -69.4226479, -24.5563029), ('Atacama-Wüste', -69.4226479, -24.5563029)]"
GAG154,"[('Frankreich', 1.8883335, 46.603354), ('Marseille', 5.3699525, 43.2961743), ('Brüssel', 4.351697, 50.8465573), ('Frankreichs', 12.499366, 41.909354)]"
GAG153,"[('Wien', 16.3725042, 48.2083537)]"
GAG152,"[('Antarktis', 0.3149312, -79.4063075), ('Elephant Island', -55.215106604558514, -61.1679146), ('Südgeorgien', -36.49465186334665, -54.43393195), ('Shackleton', 117.8368271, -31.9316993)]"
GAG151,"[('Japans', 18.1069522, 59.3348211), ('Japans', 18.1069522, 59.3348211)]"
GAG150,"[('Bendestorf.', 9.9660013, 53.3420656), ('Bendestorf', 9.9660013, 53.3420656), ('Niedersachsen', 9.075962, 52.8398531), ('Hamburg', 10.000654, 53.550341), ('Bendestorf', 9.9660013, 53.3420656), ('Bendestorf', 9.9660013, 53.3420656), ('Bendestorf', 9.9660013, 53.3420656), ('Bendestorf', 9.9660013, 53.3420656)]"
GAG149,"[('Island', -18.1059013, 64.9841821)]"
GAG147,"[('Deutschland', 10.4478313, 51.1638175)]"
GAG146,"[('Südamerika', -61.0006565, -21.0002179), ('La Plata-Region', -70.393151, -29.1333325), ('Paraguay', -58.1693445, -23.3165935), ('Argentinien,', -64.9672817, -34.9964963), ('Brasilien', -53.2, -10.3333333)]"
GAG145,"[('Bratislava', 17.1093063, 48.1516988)]"
GAG141,"[('Kabakon', 152.3969375, -4.237125000000001)]"
GAG140,"[('Moskau', 37.6174943, 55.7504461), ('Deutschland', 10.4478313, 51.1638175), ('Moskau', 37.6174943, 55.7504461), ('Moskau.', 37.6174943, 55.7504461)]"
GAG139,"[('Frankreich', 1.8883335, 46.603354)]"
GAG136,"[('Wiens', 7.7257921, 51.7455388)]"
GAG135,"[('Wien', 16.3725042, 48.2083537)]"
GAG134,"[('Schweiz', 8.2319736, 46.7985624)]"
GAG132,"[('Bremer', -92.3099856, 42.7669649), ('Bremen', 8.8071646, 53.0758196)]"
GAG131,"[('Großbritanniens', 12.50154043735413, 41.90823145)]"
GAG130,"[('Geschehens', 10.5677982, 47.9952098), ('Kleinasiens', 13.79033159272656, 52.8183204)]"
GAG129,"[('Englands', -1.8595357657235332, 51.7039725)]"
GAG128,"[('USA', -100.445882, 39.7837304)]"
GAG127,"[('Altona', 9.777669726868917, 53.58646755)]"
GAG126,"[('Geschehens', 10.5677982, 47.9952098)]"
GAG125,"[('Texas', -98.5456116, 31.2638905), ('Texas', -98.5456116, 31.2638905), ('Mexiko', -102.0077097, 23.6585116), ('Republik Texas', -95.56868264469539, 29.728593449999998)]"
GAG123,"[('Sachsen', 13.4585052, 50.9295798), ('Nordamerikas', 12.4113744, 51.3028882)]"
GAG122,"[('Geschehens', 10.5677982, 47.9952098)]"
